name,version,workspace,observedRuntimeImport,observedPrograms,observedSubpaths,entryTypeEvidence,typeStatusAtObservedImports,autoRefusalsAtObservedImports,parentContexts,typedParentContexts,ownDeclarationFiles,shippedTsFiles,shippedJsFiles,nativeAddonFiles,root,manifestSha256
gitlab-ai-provider,6.15.0,False,True,redcode/redcode,gitlab-ai-provider,type-surface-resolved-in-at-least-one-context,own-declarations,,1,1,2,0,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/gitlab-ai-provider@6.15.0+40d0fcf8a09bea5b/node_modules/gitlab-ai-provider,496b13590000f39842bba267afe5abab7b1921d6304706da3f649e0b7c33cad1
gitlab-ai-provider,6.15.0,False,True,redcode/lildax | redcode/redcode,gitlab-ai-provider,type-surface-resolved-in-at-least-one-context,own-declarations,,1,1,2,0,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/gitlab-ai-provider@6.15.0+6dfbf2eb88514315/node_modules/gitlab-ai-provider,496b13590000f39842bba267afe5abab7b1921d6304706da3f649e0b7c33cad1
glob,13.0.5,False,True,redcode/lildax | redcode/redcode,glob,type-surface-resolved-in-at-least-one-context,own-declarations,its shipped JS looks minified,5,5,14,0,16,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/glob@13.0.5/node_modules/glob,2374cfc5fdf947255daedcbb976c57df5edae013b2e4a2743e7064dd1f3c1d50
google-auth-library,10.5.0,False,True,redcode/lildax | redcode/redcode,google-auth-library,type-surface-resolved-in-at-least-one-context,own-declarations,,3,3,37,0,37,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/google-auth-library@10.5.0+759ce506b1ed1a42/node_modules/google-auth-library,6f7ab03fc35d235fe9eb7d7b481af322687f6115558caba3fe93ad32f761f86b
gray-matter,4.0.3,False,True,red-skills/memory | red-skills/memory-mcp | red-skills/benchmark-memory,gray-matter,type-surface-resolved-in-at-least-one-context,own-declarations,,1,1,1,0,9,0,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/gray-matter@4.0.3/node_modules/gray-matter,8c3d84775e52c5e409158387040b06b7e6acb3e12b9377e7acb35866dc426909
gray-matter,4.0.3,False,True,redcode/lildax | redcode/redcode,gray-matter,type-surface-resolved-in-at-least-one-context,own-declarations,,2,2,1,0,9,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/gray-matter@4.0.3/node_modules/gray-matter,8c3d84775e52c5e409158387040b06b7e6acb3e12b9377e7acb35866dc426909
htmlparser2,8.0.2,False,True,redcode/lildax | redcode/redcode,htmlparser2,type-surface-resolved-in-at-least-one-context,own-declarations,,2,2,8,0,8,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/htmlparser2@8.0.2/node_modules/htmlparser2,59a1ccf2ff631d6c789aab23076f531299100f7d63d3e0b2102c179ff79b8d6b
ignore,7.0.5,False,True,redcode/redcode,ignore,type-surface-resolved-in-at-least-one-context,own-declarations,,2,2,1,0,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/ignore@7.0.5/node_modules/ignore,9aea50de5a5f199b29b8f6d5e3c46ffac58958dd4d4f525bfde14214ad39417f
immer,11.1.4,False,True,redcode/lildax | redcode/redcode,immer,type-surface-resolved-in-at-least-one-context,own-declarations,,2,2,2,16,6,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/immer@11.1.4/node_modules/immer,91582abe0a23d934ebf99c17545b9366aa28bc3c59c75912f69377535bc2c4eb
ini,6.0.0,False,True,redcode/redcode,ini,js-or-native-no-declaration-found,no-declaration-resolved,it ships no own .d.ts declaration surface,2,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/ini@6.0.0/node_modules/ini,194169a21afe2614accc960627c62621704ccfbe64ecbde4d7a65847fbaa4d56
is-extglob,2.1.1,False,True,redcode/redcode,is-extglob,js-or-native-no-declaration-found,no-declaration-resolved,it ships no own .d.ts declaration surface,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/is-extglob@2.1.1/node_modules/is-extglob,8031afcd87f448d75ba8a5dd2cde9c68f982a94f406ebae8e5fb7cf6dfdeede2
