package,version,specifier,programs,file,line,kind,typeOnly,typing,typesPath,typescriptResolved,runtimeLanguage,runtimePath,localAmbientDeclarations,autoEligibilityApplies,automaticRefusal
@npmcli/config,10.8.1,@npmcli/config,redcode/lildax | redcode/redcode,/home/cyber/Work/reddb.io/redcode/packages/core/src/npm-config.ts,5,import,False,no-declaration-resolved,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@npmcli+config@10.8.1/node_modules/@npmcli/config/lib/index.js,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@npmcli+config@10.8.1/node_modules/@npmcli/config/lib/index.js,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@npmcli+config@10.8.1/node_modules/@npmcli/config/lib/index.js,,True,it ships no own .d.ts declaration surface
@npmcli/config,10.8.1,@npmcli/config/lib/definitions/index.js,redcode/lildax | redcode/redcode,/home/cyber/Work/reddb.io/redcode/packages/core/src/npm-config.ts,7,import,False,no-declaration-resolved,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@npmcli+config@10.8.1/node_modules/@npmcli/config/lib/definitions/index.js,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@npmcli+config@10.8.1/node_modules/@npmcli/config/lib/definitions/index.js,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@npmcli+config@10.8.1/node_modules/@npmcli/config/lib/definitions/index.js,,True,it ships no own .d.ts declaration surface
@parcel/watcher,2.5.1,@parcel/watcher/wrapper,redcode/lildax | redcode/redcode,/home/cyber/Work/reddb.io/redcode/packages/core/src/filesystem/watcher.ts,4,import,False,no-declaration-resolved,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@parcel+watcher@2.5.1/node_modules/@parcel/watcher/wrapper.js,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@parcel+watcher@2.5.1/node_modules/@parcel/watcher/wrapper.js,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@parcel+watcher@2.5.1/node_modules/@parcel/watcher/wrapper.js,,True,it ships no own .d.ts declaration surface
is-glob,4.0.3,is-glob,redcode/redcode,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@parcel+watcher@2.5.1/node_modules/@parcel/watcher/wrapper.js,3,require,False,no-declaration-resolved,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/is-glob@4.0.3/node_modules/is-glob/index.js,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/is-glob@4.0.3/node_modules/is-glob/index.js,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/is-glob@4.0.3/node_modules/is-glob/index.js,,True,it ships no own .d.ts declaration surface
is-extglob,2.1.1,is-extglob,redcode/redcode,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/is-glob@4.0.3/node_modules/is-glob/index.js,8,require,False,no-declaration-resolved,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/is-extglob@2.1.1/node_modules/is-extglob/index.js,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/is-extglob@2.1.1/node_modules/is-extglob/index.js,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/is-extglob@2.1.1/node_modules/is-extglob/index.js,,True,it ships no own .d.ts declaration surface
ini,6.0.0,ini,redcode/redcode,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@npmcli+config@10.8.1/node_modules/@npmcli/config/lib/index.js,3,require,False,no-declaration-resolved,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/ini@6.0.0/node_modules/ini/lib/ini.js,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/ini@6.0.0/node_modules/ini/lib/ini.js,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/ini@6.0.0/node_modules/ini/lib/ini.js,,True,it ships no own .d.ts declaration surface
nopt,9.0.0,nopt,redcode/redcode,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@npmcli+config@10.8.1/node_modules/@npmcli/config/lib/index.js,4,require,False,no-declaration-resolved,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/nopt@9.0.0/node_modules/nopt/lib/nopt.js,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/nopt@9.0.0/node_modules/nopt/lib/nopt.js,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/nopt@9.0.0/node_modules/nopt/lib/nopt.js,,True,it ships no own .d.ts declaration surface
proc-log,6.1.0,proc-log,redcode/redcode,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@npmcli+config@10.8.1/node_modules/@npmcli/config/lib/index.js,5,require,False,no-declaration-resolved,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/proc-log@6.1.0/node_modules/proc-log/lib/index.js,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/proc-log@6.1.0/node_modules/proc-log/lib/index.js,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/proc-log@6.1.0/node_modules/proc-log/lib/index.js,,True,it ships no own .d.ts declaration surface
@npmcli/map-workspaces,5.0.3,@npmcli/map-workspaces,redcode/redcode,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@npmcli+config@10.8.1/node_modules/@npmcli/config/lib/index.js,738,require,False,no-declaration-resolved,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@npmcli+map-workspaces@5.0.3/node_modules/@npmcli/map-workspaces/lib/index.js,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@npmcli+map-workspaces@5.0.3/node_modules/@npmcli/map-workspaces/lib/index.js,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@npmcli+map-workspaces@5.0.3/node_modules/@npmcli/map-workspaces/lib/index.js,,True,it ships no own .d.ts declaration surface
