name,version,workspace,observedRuntimeImport,observedPrograms,observedSubpaths,entryTypeEvidence,typeStatusAtObservedImports,autoRefusalsAtObservedImports,parentContexts,typedParentContexts,ownDeclarationFiles,shippedTsFiles,shippedJsFiles,nativeAddonFiles,root,manifestSha256
ini,6.0.0,False,True,redcode/redcode,ini,js-or-native-no-declaration-found,no-declaration-resolved,it ships no own .d.ts declaration surface,2,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/ini@6.0.0/node_modules/ini,194169a21afe2614accc960627c62621704ccfbe64ecbde4d7a65847fbaa4d56
@npmcli/promise-spawn,9.0.1,False,False,,,js-or-native-no-declaration-found,,,3,0,0,0,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@npmcli+promise-spawn@9.0.1/node_modules/@npmcli/promise-spawn,31fd2768440dfe550bb894ab55e326fffe4ac63b2f83e798e2cbb6edff1373e4
@npmcli/name-from-folder,4.0.0,False,False,,,js-or-native-no-declaration-found,,,2,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@npmcli+name-from-folder@4.0.0/node_modules/@npmcli/name-from-folder,ca446ce3288e3b7a6c1278ae899a5718dffc52a4e42ba6236519c67e6329fcb1
nopt,9.0.0,False,True,redcode/redcode,nopt,js-or-native-no-declaration-found,no-declaration-resolved,it ships no own .d.ts declaration surface,3,0,0,0,5,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/nopt@9.0.0/node_modules/nopt,9e9aa0342cc3232da295048d60276edff062faf18b317b600c6ccb6bfc0d212f
abbrev,4.0.0,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/abbrev@4.0.0/node_modules/abbrev,86c0a87ee85682437c2617ea516604ac19dcc7b8e1fc5d34a2220f320347c627
is-extglob,2.1.1,False,True,redcode/redcode,is-extglob,js-or-native-no-declaration-found,no-declaration-resolved,it ships no own .d.ts declaration surface,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/is-extglob@2.1.1/node_modules/is-extglob,8031afcd87f448d75ba8a5dd2cde9c68f982a94f406ebae8e5fb7cf6dfdeede2
is-glob,4.0.3,False,True,redcode/redcode,is-glob,js-or-native-no-declaration-found,no-declaration-resolved,it ships no own .d.ts declaration surface,3,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/is-glob@4.0.3/node_modules/is-glob,1cce62b80db12fc033d85250b5881b1a288476229abda8e1abd983724befd56f
picomatch,2.3.2,False,False,,,js-or-native-no-declaration-found,,,3,0,0,0,6,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/picomatch@2.3.2/node_modules/picomatch,63264d817e856a4bff57d4304f2b38d2964a4f6df520eb169e7bcdb619f13e9a
fill-range,7.1.1,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/fill-range@7.1.1/node_modules/fill-range,87f5c78f9b47d21f9ca62b60cff1d250a3b468eab320dd13c3f3ab2464a02735
to-regex-range,5.0.1,False,False,,,js-no-declarations-jsdoc-candidate,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/to-regex-range@5.0.1/node_modules/to-regex-range,766fc1bb34fffcd503c89f4194188ce059795c52fd0dc6753cd4b7dcfc3fe1ec
is-number,7.0.0,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/is-number@7.0.0/node_modules/is-number,51c133f4e41df982aef69027249ff9d7262645029f437d079adc7c83328fb620
sass,1.51.0,False,False,,,types-or-ts-files-present-but-root-unresolved,,,1,0,24,0,3,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/sass@1.51.0/node_modules/sass,21419289f1c4f1b6c3992eeac982ff5bb70a35573efa3574e4eea487146e63dc
normalize-path,3.0.0,False,False,,,js-or-native-no-declaration-found,,,2,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/normalize-path@3.0.0/node_modules/normalize-path,284ea445a01a454ab1235a08101445fe16592303167090815f4a75b54d6fba04
glob-parent,5.1.2,False,False,,,js-no-declarations-jsdoc-candidate,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/glob-parent@5.1.2/node_modules/glob-parent,858af9aa27cfe6eea1cfd1abbda15ad0ccc87e66e88b3ad249fab8df6dd13192
msgpackr-extract,3.0.4,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/msgpackr-extract@3.0.4/node_modules/msgpackr-extract,5cc88f0f15a0b54d9bb55b7aba652b792342199d77a8402727b76f0a53f9c2d1
@msgpackr-extract/msgpackr-extract-linux-x64,3.0.4,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,1,4,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@msgpackr-extract+msgpackr-extract-linux-x64@3.0.4/node_modules/@msgpackr-extract/msgpackr-extract-linux-x64,0feb6407da586c3576fc9f3fb8b512600e5382283895106927a7d91b2bad85d7
node-gyp-build-optional-packages,5.2.2,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,5,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/node-gyp-build-optional-packages@5.2.2/node_modules/node-gyp-build-optional-packages,939e18b5652b4cd288a9ff263ddd9be1101b0503903794b9f8feb2603461e1a4
kubernetes-types,1.30.0,False,False,,,types-or-ts-files-present-but-root-unresolved,,,1,0,35,0,0,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/kubernetes-types@1.30.0/node_modules/kubernetes-types,2e23caf0261433c70ddaff7a11de94f05c888c8f0433d2909253ae34a48ab306
ini,7.0.0,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/ini@7.0.0/node_modules/ini,8fa8b0d70252d57858bae47eae4d4b8d19c83f316dddd0d4565f5626cc51e194
