fromName,name,range,field,optionalPeer,from
@modelcontextprotocol/sdk,@cfworker/json-schema,^4.1.1,peerDependencies,True,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/@modelcontextprotocol+sdk@1.29.0_zod@3.25.76/node_modules/@modelcontextprotocol/sdk
msgpackr-extract,@msgpackr-extract/msgpackr-extract-darwin-arm64,3.0.4,optionalDependencies,False,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/msgpackr-extract@3.0.4/node_modules/msgpackr-extract
msgpackr-extract,@msgpackr-extract/msgpackr-extract-darwin-x64,3.0.4,optionalDependencies,False,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/msgpackr-extract@3.0.4/node_modules/msgpackr-extract
msgpackr-extract,@msgpackr-extract/msgpackr-extract-linux-arm,3.0.4,optionalDependencies,False,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/msgpackr-extract@3.0.4/node_modules/msgpackr-extract
msgpackr-extract,@msgpackr-extract/msgpackr-extract-linux-arm64,3.0.4,optionalDependencies,False,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/msgpackr-extract@3.0.4/node_modules/msgpackr-extract
msgpackr-extract,@msgpackr-extract/msgpackr-extract-win32-x64,3.0.4,optionalDependencies,False,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/msgpackr-extract@3.0.4/node_modules/msgpackr-extract
@effect/experimental,ioredis,^5,peerDependencies,True,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/@effect+experimental@0.59.0_@effect+platform@0.95.0_effect@3.22.0__effect@3.22.0/node_modules/@effect/experimental
@effect/experimental,lmdb,^3,peerDependencies,True,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/@effect+experimental@0.59.0_@effect+platform@0.95.0_effect@3.22.0__effect@3.22.0/node_modules/@effect/experimental
ws,bufferutil,^4.0.1,peerDependencies,True,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/ws@8.21.0/node_modules/ws
ws,utf-8-validate,>=5.0.2,peerDependencies,True,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/ws@8.21.0/node_modules/ws
@parcel/watcher,@parcel/watcher-darwin-x64,2.5.6,optionalDependencies,False,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/@parcel+watcher@2.5.6/node_modules/@parcel/watcher
@parcel/watcher,@parcel/watcher-darwin-arm64,2.5.6,optionalDependencies,False,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/@parcel+watcher@2.5.6/node_modules/@parcel/watcher
@parcel/watcher,@parcel/watcher-win32-x64,2.5.6,optionalDependencies,False,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/@parcel+watcher@2.5.6/node_modules/@parcel/watcher
@parcel/watcher,@parcel/watcher-win32-arm64,2.5.6,optionalDependencies,False,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/@parcel+watcher@2.5.6/node_modules/@parcel/watcher
@parcel/watcher,@parcel/watcher-win32-ia32,2.5.6,optionalDependencies,False,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/@parcel+watcher@2.5.6/node_modules/@parcel/watcher
@parcel/watcher,@parcel/watcher-linux-x64-musl,2.5.6,optionalDependencies,False,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/@parcel+watcher@2.5.6/node_modules/@parcel/watcher
@parcel/watcher,@parcel/watcher-linux-arm64-glibc,2.5.6,optionalDependencies,False,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/@parcel+watcher@2.5.6/node_modules/@parcel/watcher
@parcel/watcher,@parcel/watcher-linux-arm64-musl,2.5.6,optionalDependencies,False,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/@parcel+watcher@2.5.6/node_modules/@parcel/watcher
@parcel/watcher,@parcel/watcher-linux-arm-glibc,2.5.6,optionalDependencies,False,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/@parcel+watcher@2.5.6/node_modules/@parcel/watcher
@parcel/watcher,@parcel/watcher-linux-arm-musl,2.5.6,optionalDependencies,False,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/@parcel+watcher@2.5.6/node_modules/@parcel/watcher
@parcel/watcher,@parcel/watcher-android-arm64,2.5.6,optionalDependencies,False,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/@parcel+watcher@2.5.6/node_modules/@parcel/watcher
@parcel/watcher,@parcel/watcher-freebsd-x64,2.5.6,optionalDependencies,False,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/@parcel+watcher@2.5.6/node_modules/@parcel/watcher
